id,busNumber,registrationNumber,model,capacity,currentStudents,driverId,routeId,gpsStatus,gpsDeviceId,insuranceExpiry,fitnessExpiry,pollutionExpiry,maintenanceStatus,status,currentSpeed,maxSpeedLimit
BUS-012,BUS 12,KA-03-EQ-2012,Tata Starbus 40S,40,29,DRV-012,RT-012,connected,GPS-AIS-10012,2027-04-13,2026-11-13,2026-09-13,good,emergency,0,50
BUS-013,BUS 13,KA-03-EQ-2013,Ashok Leyland Lynx,40,29,DRV-013,RT-013,connected,GPS-AIS-10013,2027-04-14,2026-11-14,2026-09-14,good,active,45,50
BUS-014,BUS 14,KA-03-EQ-2014,Tata Starbus 40S,40,31,DRV-014,RT-014,connected,GPS-AIS-10014,2027-04-15,2026-11-15,2026-09-15,good,active,46,50
BUS-015,BUS 15,KA-03-EQ-2015,Ashok Leyland Lynx,40,18,DRV-015,RT-015,connected,GPS-AIS-10015,2027-04-16,2026-11-16,2026-09-16,expired,active,32,50
BUS-016,BUS 16,KA-03-EQ-2016,Tata Starbus 40S,40,19,DRV-016,RT-016,connected,GPS-AIS-10016,2027-04-17,2026-11-17,2026-09-17,good,active,33,50
BUS-017,BUS 17,KA-03-EQ-2017,Ashok Leyland Lynx,40,20,DRV-017,RT-017,connected,GPS-AIS-10017,2027-04-18,2026-11-18,2026-09-18,good,active,34,50
BUS-018,BUS 18,KA-03-EQ-2018,Tata Starbus 40S,40,20,DRV-018,RT-018,disconnected,GPS-AIS-10018,2027-04-19,2026-11-19,2026-09-19,good,active,35,50
BUS-019,BUS 19,KA-03-EQ-2019,Ashok Leyland Lynx,40,0,DRV-019,RT-019,connected,GPS-AIS-10019,2027-04-20,2026-11-20,2026-09-20,good,active,0,50
BUS-020,BUS 20,KA-03-EQ-2020,Tata Starbus 40S,40,0,DRV-020,RT-020,connected,GPS-AIS-10020,2027-04-21,2026-11-21,2026-09-21,good,active,0,50
BUS-021,BUS 21,KA-03-EQ-2021,Ashok Leyland Lynx,40,0,DRV-021,RT-021,connected,GPS-AIS-10021,2027-04-22,2026-11-22,2026-09-22,good,active,0,50
BUS-022,BUS 22,KA-03-EQ-2022,Tata Starbus 40S,40,0,DRV-022,RT-022,connected,GPS-AIS-10022,2027-04-23,2026-11-23,2026-09-23,good,active,0,50
BUS-023,BUS 23,KA-03-EQ-2023,Ashok Leyland Lynx,40,0,,,connected,GPS-AIS-10023,2027-04-24,2026-11-24,2026-09-24,good,active,0,50
BUS-024,BUS 24,KA-03-EQ-2024,Tata Starbus 40S,40,0,,,connected,GPS-AIS-10024,2027-04-25,2026-11-25,2026-09-25,good,active,0,50
BUS-025,BUS 25,KA-03-EQ-2025,Ashok Leyland Lynx,40,0,,,connected,GPS-AIS-10025,2027-04-26,2026-11-26,2026-09-26,good,active,0,50
BUS-026,BUS 26,KA-03-EQ-2026,Tata Starbus 40S,40,0,,,connected,GPS-AIS-10026,2027-04-27,2026-11-27,2026-09-27,good,active,0,50
BUS-027,BUS 27,KA-03-EQ-2027,Ashok Leyland Lynx,40,0,,,connected,GPS-AIS-10027,2027-04-28,2026-11-28,2026-09-28,good,active,0,50
BUS-028,BUS 28,KA-03-EQ-2028,Tata Starbus 40S,40,0,,,connected,GPS-AIS-10028,2027-04-01,2026-11-01,2026-09-01,good,active,0,50
BUS-029,BUS 29,KA-03-EQ-2029,Ashok Leyland Lynx,40,0,,,connected,GPS-AIS-10029,2027-04-02,2026-11-02,2026-09-02,maintenance,maintenance,0,50
BUS-030,BUS 30,KA-03-EQ-2030,Tata Starbus 40S,40,0,,,connected,GPS-AIS-10030,2027-04-03,2026-11-03,2026-09-03,maintenance,maintenance,0,50
BUS-031,BUS 31,KA-03-EQ-2031,Ashok Leyland Lynx,40,0,,,connected,GPS-AIS-10031,2027-04-04,2026-11-04,2026-09-04,maintenance,maintenance,0,50
BUS-032,BUS 32,KA-03-EQ-2032,Tata Starbus 40S,40,0,,,connected,GPS-AIS-10032,2027-04-05,2026-11-05,2026-09-05,maintenance,maintenance,0,50
BUS-033,BUS 33,KA-03-EQ-2033,Ashok Leyland Lynx,40,0,,,connected,GPS-AIS-10033,2027-04-06,2026-11-06,2026-09-06,good,inactive,0,50
BUS-034,BUS 34,KA-03-EQ-2034,Tata Starbus 40S,40,0,,,connected,GPS-AIS-10034,2027-04-07,2026-11-07,2026-09-07,good,inactive,0,50
BUS-035,BUS 35,KA-03-EQ-2035,Ashok Leyland Lynx,40,0,,,connected,GPS-AIS-10035,2027-04-08,2026-11-08,2026-09-08,good,inactive,0,50
